               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.023436,            0.036575,           0.0067757,             0.98507,             0.99621,             0.98992,             0.82146,            0.014898,            0.015338,           0.0052242,            0.002674,            0.002674,            0.002674
                  76,            0.022055,            0.032663,           0.0063684,             0.98561,             0.99552,             0.98999,              0.8447,            0.013912,            0.015008,           0.0050521,            0.002575,            0.002575,            0.002575
                  77,            0.022822,            0.031386,           0.0061833,             0.98619,             0.99621,              0.9897,             0.76631,            0.019663,            0.016768,           0.0048864,            0.002476,            0.002476,            0.002476
                  78,            0.022206,            0.032877,           0.0061324,              0.9857,             0.99376,             0.99024,             0.84421,            0.013785,            0.014801,           0.0047583,            0.002377,            0.002377,            0.002377
                  79,            0.021214,            0.031691,           0.0059376,             0.98675,             0.99403,             0.99052,             0.83806,            0.014288,            0.015029,           0.0046736,            0.002278,            0.002278,            0.002278
                  80,             0.02105,            0.029957,            0.005836,             0.98728,              0.9943,             0.99104,             0.84872,            0.013626,            0.014829,           0.0045005,            0.002179,            0.002179,            0.002179
                  81,            0.021737,            0.032733,           0.0058758,             0.98794,             0.99431,             0.99095,             0.80291,            0.017192,             0.01588,           0.0043852,             0.00208,             0.00208,             0.00208
                  82,            0.021447,            0.032847,           0.0056562,             0.98776,             0.99421,              0.9907,             0.78499,            0.017366,            0.016219,           0.0042825,            0.001981,            0.001981,            0.001981
                  83,            0.020899,            0.033405,            0.005773,             0.98831,             0.99417,             0.99112,             0.81743,            0.015887,            0.015671,           0.0041449,            0.001882,            0.001882,            0.001882
                  84,            0.020623,            0.032282,           0.0053223,             0.98877,             0.99409,             0.99142,             0.85302,             0.01335,             0.01476,           0.0040374,            0.001783,            0.001783,            0.001783
                  85,            0.020449,             0.03229,           0.0053967,              0.9883,             0.99431,             0.99086,             0.82141,            0.015463,             0.01561,           0.0039232,            0.001684,            0.001684,            0.001684
                  86,            0.020673,             0.03236,           0.0056681,             0.98811,             0.99438,             0.99077,             0.83833,            0.014324,            0.014898,           0.0038749,            0.001585,            0.001585,            0.001585
                  87,            0.020035,            0.029175,           0.0051958,             0.98833,             0.99443,             0.99065,             0.83339,            0.014783,            0.015077,           0.0038049,            0.001486,            0.001486,            0.001486
                  88,             0.01966,            0.032332,           0.0053931,             0.98905,             0.99432,             0.98989,             0.85441,            0.012508,            0.014424,            0.003773,            0.001387,            0.001387,            0.001387
                  89,            0.019502,            0.031008,           0.0053033,             0.98987,             0.99445,             0.99052,             0.82079,            0.014494,            0.015125,           0.0036845,            0.001288,            0.001288,            0.001288
                  90,            0.020273,             0.03102,           0.0049858,             0.99002,             0.99492,             0.99088,             0.81915,            0.014791,            0.015158,           0.0035939,            0.001189,            0.001189,            0.001189
                  91,            0.019961,            0.031438,            0.005091,             0.99043,             0.99472,             0.99074,             0.82793,            0.014439,             0.01487,           0.0035283,             0.00109,             0.00109,             0.00109
                  92,            0.019163,            0.030437,           0.0047607,             0.99034,              0.9944,             0.99065,             0.83862,            0.013966,            0.014769,           0.0034551,            0.000991,            0.000991,            0.000991
                  93,            0.019109,            0.030186,            0.004682,             0.99045,             0.99468,             0.99055,             0.83461,             0.01345,             0.01458,           0.0034309,            0.000892,            0.000892,            0.000892
                  94,            0.019004,            0.032723,           0.0047978,             0.99016,             0.99455,             0.99091,             0.85247,            0.013271,            0.014494,            0.003405,            0.000793,            0.000793,            0.000793
                  95,            0.018933,            0.031933,            0.004858,             0.99041,             0.99446,             0.99073,             0.85615,            0.013048,            0.014482,           0.0033458,            0.000694,            0.000694,            0.000694
                  96,            0.019049,            0.029681,           0.0044874,             0.99033,             0.99449,             0.99127,             0.85821,             0.01271,             0.01432,           0.0032749,            0.000595,            0.000595,            0.000595
                  97,            0.018755,            0.031048,           0.0047949,             0.99003,             0.99445,             0.99084,             0.85827,             0.01269,            0.014289,           0.0032771,            0.000496,            0.000496,            0.000496
                  98,            0.018367,             0.02977,            0.004655,             0.99002,             0.99439,             0.99071,             0.86235,             0.01225,            0.014061,           0.0032364,            0.000397,            0.000397,            0.000397
                  99,            0.018558,            0.029325,           0.0045573,             0.98977,             0.99444,              0.9905,             0.86084,             0.01233,            0.014103,           0.0032215,            0.000298,            0.000298,            0.000298
